"IDmouse","ExpGroup","time","TVolume"
"Ctr-WT1","Ctr-WT",0,235
"Ctr-WT1","Ctr-WT",3,348
"Ctr-WT1","Ctr-WT",6,523
"Ctr-WT1","Ctr-WT",9,879
"Ctr-WT1","Ctr-WT",12,760
"Ctr-WT1","Ctr-WT",15,788
"Ctr-WT10","Ctr-WT",0,149
"Ctr-WT10","Ctr-WT",3,378
"Ctr-WT10","Ctr-WT",6,948
"Ctr-WT10","Ctr-WT",9,1086
"Ctr-WT10","Ctr-WT",12,1412
"Ctr-WT11","Ctr-WT",0,74
"Ctr-WT11","Ctr-WT",3,192
"Ctr-WT11","Ctr-WT",6,174
"Ctr-WT11","Ctr-WT",9,154
"Ctr-WT11","Ctr-WT",12,150
"Ctr-WT11","Ctr-WT",15,246
"Ctr-WT12","Ctr-WT",0,137
"Ctr-WT12","Ctr-WT",3,238
"Ctr-WT12","Ctr-WT",6,517
"Ctr-WT12","Ctr-WT",9,601
"Ctr-WT12","Ctr-WT",12,712
"Ctr-WT12","Ctr-WT",15,959
"Ctr-KO13","Ctr-KO",0,161
"Ctr-KO13","Ctr-KO",3,438
"Ctr-KO13","Ctr-KO",6,735
"Ctr-KO13","Ctr-KO",9,809
"Ctr-KO13","Ctr-KO",12,1117
"Ctr-KO13","Ctr-KO",15,1195
"Ctr-KO14","Ctr-KO",0,146
"Ctr-KO14","Ctr-KO",3,355
"Ctr-KO14","Ctr-KO",6,521
"Ctr-KO14","Ctr-KO",9,832
"Ctr-KO14","Ctr-KO",12,1134
"Ctr-KO14","Ctr-KO",15,1785
"Ctr-KO15","Ctr-KO",0,208
"Ctr-KO15","Ctr-KO",3,711
"Ctr-KO15","Ctr-KO",6,484
"Ctr-KO16","Ctr-KO",0,133
"Ctr-KO16","Ctr-KO",3,305
"Ctr-KO16","Ctr-KO",6,541
"Ctr-KO16","Ctr-KO",9,606
"Ctr-KO16","Ctr-KO",12,921
"Ctr-KO16","Ctr-KO",15,1051
"Ctr-KO17","Ctr-KO",0,60
"Ctr-KO17","Ctr-KO",3,107
"Ctr-KO17","Ctr-KO",6,231
"Ctr-KO17","Ctr-KO",9,231
"Ctr-KO17","Ctr-KO",12,324
"Ctr-KO17","Ctr-KO",15,283
"Ctr-KO18","Ctr-KO",0,154
"Ctr-KO18","Ctr-KO",3,299
"Ctr-KO18","Ctr-KO",6,476
"Ctr-KO18","Ctr-KO",9,785
"Ctr-KO18","Ctr-KO",12,1320
"Ctr-KO18","Ctr-KO",15,1456
"Ctr-KO19","Ctr-KO",0,147
"Ctr-KO19","Ctr-KO",3,246
"Ctr-KO19","Ctr-KO",6,452
"Ctr-KO19","Ctr-KO",9,505
"Ctr-KO19","Ctr-KO",12,928
"Ctr-KO19","Ctr-KO",15,718
"Ctr-WT2","Ctr-WT",0,184
"Ctr-WT2","Ctr-WT",3,479
"Ctr-WT2","Ctr-WT",6,585
"Ctr-WT2","Ctr-WT",9,1390
"Ctr-WT2","Ctr-WT",12,1638
"Ctr-WT2","Ctr-WT",15,1502
"Ctr-KO20","Ctr-KO",0,138
"Ctr-KO20","Ctr-KO",3,364
"Ctr-KO20","Ctr-KO",6,731
"Ctr-KO20","Ctr-KO",9,1174
"Ctr-KO20","Ctr-KO",12,1687
"Ctr-KO21","Ctr-KO",0,114
"Ctr-KO21","Ctr-KO",3,290
"Ctr-KO21","Ctr-KO",6,654
"Ctr-KO21","Ctr-KO",9,1454
"Ctr-KO21","Ctr-KO",12,1482
"Ctr-KO22","Ctr-KO",0,257
"Ctr-KO22","Ctr-KO",3,597
"Ctr-KO22","Ctr-KO",6,725
"Ctr-KO22","Ctr-KO",9,1023
"Ctr-KO22","Ctr-KO",12,1283
"Ctr-KO22","Ctr-KO",15,942
"Ctr-KO23","Ctr-KO",0,183
"Ctr-KO23","Ctr-KO",3,312
"Ctr-KO23","Ctr-KO",6,581
"Ctr-KO23","Ctr-KO",9,441
"Ctr-KO23","Ctr-KO",12,570
"Ctr-KO23","Ctr-KO",15,469
"Ctr-KO24","Ctr-KO",0,172
"Ctr-KO24","Ctr-KO",3,323
"Ctr-KO24","Ctr-KO",6,650
"Ctr-KO24","Ctr-KO",9,612
"Ctr-KO24","Ctr-KO",12,791
"Ctr-KO24","Ctr-KO",15,1346
"Trt-WT25","Trt-WT",0,152
"Trt-WT25","Trt-WT",3,397
"Trt-WT25","Trt-WT",6,883
"Trt-WT25","Trt-WT",9,1765
"Trt-WT26","Trt-WT",0,167
"Trt-WT26","Trt-WT",3,372
"Trt-WT26","Trt-WT",6,534
"Trt-WT26","Trt-WT",9,785
"Trt-WT26","Trt-WT",12,918
"Trt-WT26","Trt-WT",15,1050
"Trt-WT27","Trt-WT",0,112
"Trt-WT27","Trt-WT",3,323
"Trt-WT27","Trt-WT",6,458
"Trt-WT27","Trt-WT",9,826
"Trt-WT27","Trt-WT",12,1372
"Trt-WT27","Trt-WT",15,1301
"Trt-WT28","Trt-WT",0,108
"Trt-WT28","Trt-WT",3,278
"Trt-WT28","Trt-WT",6,389
"Trt-WT28","Trt-WT",9,522
"Trt-WT28","Trt-WT",12,1037
"Trt-WT28","Trt-WT",15,978
"Trt-WT29","Trt-WT",0,128
"Trt-WT29","Trt-WT",3,228
"Trt-WT29","Trt-WT",6,520
"Trt-WT29","Trt-WT",9,376
"Trt-WT29","Trt-WT",12,537
"Trt-WT29","Trt-WT",15,579
"Ctr-WT3","Ctr-WT",0,135
"Ctr-WT3","Ctr-WT",3,211
"Ctr-WT3","Ctr-WT",6,338
"Ctr-WT3","Ctr-WT",9,464
"Ctr-WT3","Ctr-WT",12,367
"Ctr-WT3","Ctr-WT",15,327
"Trt-WT30","Trt-WT",0,152
"Trt-WT30","Trt-WT",3,256
"Trt-WT30","Trt-WT",6,579
"Trt-WT30","Trt-WT",9,1312
"Trt-WT30","Trt-WT",12,994
"Trt-WT30","Trt-WT",15,1636
"Trt-WT31","Trt-WT",0,285
"Trt-WT31","Trt-WT",3,599
"Trt-WT31","Trt-WT",6,849
"Trt-WT31","Trt-WT",9,925
"Trt-WT31","Trt-WT",12,1876
"Trt-WT32","Trt-WT",0,160
"Trt-WT32","Trt-WT",3,257
"Trt-WT32","Trt-WT",6,599
"Trt-WT32","Trt-WT",9,911
"Trt-WT32","Trt-WT",12,1241
"Trt-WT32","Trt-WT",15,1541
"Trt-WT33","Trt-WT",0,84
"Trt-WT33","Trt-WT",3,240
"Trt-WT33","Trt-WT",6,343
"Trt-WT33","Trt-WT",9,653
"Trt-WT33","Trt-WT",12,1126
"Trt-WT33","Trt-WT",15,1550
"Trt-WT34","Trt-WT",0,114
"Trt-WT34","Trt-WT",3,209
"Trt-WT34","Trt-WT",6,216
"Trt-WT34","Trt-WT",9,465
"Trt-WT34","Trt-WT",12,614
"Trt-WT34","Trt-WT",15,594
"Trt-WT35","Trt-WT",0,109
"Trt-WT35","Trt-WT",3,174
"Trt-WT35","Trt-WT",6,364
"Trt-WT35","Trt-WT",9,358
"Trt-WT35","Trt-WT",12,248
"Trt-WT35","Trt-WT",15,336
"Trt-WT36","Trt-WT",0,178
"Trt-WT36","Trt-WT",3,253
"Trt-WT36","Trt-WT",6,398
"Trt-WT36","Trt-WT",9,554
"Trt-WT36","Trt-WT",12,620
"Trt-WT36","Trt-WT",15,442
"Trt-KO37","Trt-KO",0,105
"Trt-KO37","Trt-KO",3,274
"Trt-KO37","Trt-KO",6,542
"Trt-KO37","Trt-KO",9,587
"Trt-KO37","Trt-KO",12,660
"Trt-KO37","Trt-KO",15,484
"Trt-KO38","Trt-KO",0,121
"Trt-KO38","Trt-KO",3,168
"Trt-KO38","Trt-KO",6,417
"Trt-KO38","Trt-KO",9,547
"Trt-KO38","Trt-KO",12,663
"Trt-KO38","Trt-KO",15,516
"Trt-KO39","Trt-KO",0,193
"Trt-KO39","Trt-KO",3,274
"Trt-KO39","Trt-KO",6,752
"Trt-KO39","Trt-KO",9,1147
"Trt-KO39","Trt-KO",12,989
"Trt-KO39","Trt-KO",15,1748
"Ctr-WT4","Ctr-WT",0,147
"Ctr-WT4","Ctr-WT",3,304
"Ctr-WT4","Ctr-WT",6,386
"Ctr-WT4","Ctr-WT",9,776
"Ctr-WT4","Ctr-WT",12,943
"Ctr-WT4","Ctr-WT",15,991
"Trt-KO40","Trt-KO",0,145
"Trt-KO40","Trt-KO",3,254
"Trt-KO40","Trt-KO",6,398
"Trt-KO40","Trt-KO",9,432
"Trt-KO40","Trt-KO",12,435
"Trt-KO40","Trt-KO",15,468
"Trt-KO41","Trt-KO",0,213
"Trt-KO41","Trt-KO",3,287
"Trt-KO41","Trt-KO",6,361
"Trt-KO41","Trt-KO",9,375
"Trt-KO41","Trt-KO",12,516
"Trt-KO41","Trt-KO",15,283
"Trt-KO42","Trt-KO",0,173
"Trt-KO42","Trt-KO",3,205
"Trt-KO42","Trt-KO",6,283
"Trt-KO42","Trt-KO",9,447
"Trt-KO42","Trt-KO",12,346
"Trt-KO42","Trt-KO",15,344
"Trt-KO43","Trt-KO",0,104
"Trt-KO43","Trt-KO",3,178
"Trt-KO43","Trt-KO",6,247
"Trt-KO43","Trt-KO",9,311
"Trt-KO43","Trt-KO",12,346
"Trt-KO43","Trt-KO",15,205
"Trt-KO44","Trt-KO",0,315
"Trt-KO44","Trt-KO",3,367
"Trt-KO44","Trt-KO",6,687
"Trt-KO44","Trt-KO",9,884
"Trt-KO44","Trt-KO",12,1141
"Trt-KO44","Trt-KO",15,1414
"Trt-KO45","Trt-KO",0,79
"Trt-KO45","Trt-KO",3,115
"Trt-KO45","Trt-KO",6,239
"Trt-KO45","Trt-KO",9,222
"Trt-KO45","Trt-KO",12,329
"Trt-KO45","Trt-KO",15,247
"Trt-KO46","Trt-KO",0,99
"Trt-KO46","Trt-KO",3,214
"Trt-KO46","Trt-KO",6,277
"Trt-KO46","Trt-KO",9,299
"Trt-KO46","Trt-KO",12,425
"Trt-KO46","Trt-KO",15,262
"Trt-KO47","Trt-KO",0,78
"Trt-KO47","Trt-KO",3,205
"Trt-KO47","Trt-KO",6,255
"Trt-KO47","Trt-KO",9,385
"Trt-KO47","Trt-KO",12,284
"Trt-KO47","Trt-KO",15,404
"Trt-KO48","Trt-KO",0,146
"Trt-KO48","Trt-KO",3,216
"Trt-KO48","Trt-KO",6,292
"Trt-KO48","Trt-KO",9,281
"Trt-KO48","Trt-KO",12,315
"Trt-KO48","Trt-KO",15,464
"Ctr-WT5","Ctr-WT",0,101
"Ctr-WT5","Ctr-WT",3,202
"Ctr-WT5","Ctr-WT",6,367
"Ctr-WT5","Ctr-WT",9,860
"Ctr-WT5","Ctr-WT",12,1270
