"IDmouse","ExpGroup","time","TVolume","lab"
"1-Ctr-WT1","Ctr-WT",0,235,"Lab 1"
"1-Ctr-WT1","Ctr-WT",3,348,"Lab 1"
"1-Ctr-WT1","Ctr-WT",6,523,"Lab 1"
"1-Ctr-WT1","Ctr-WT",9,879,"Lab 1"
"1-Ctr-WT1","Ctr-WT",12,760,"Lab 1"
"1-Ctr-WT1","Ctr-WT",15,788,"Lab 1"
"1-Ctr-WT10","Ctr-WT",0,149,"Lab 1"
"1-Ctr-WT10","Ctr-WT",3,378,"Lab 1"
"1-Ctr-WT10","Ctr-WT",6,948,"Lab 1"
"1-Ctr-WT10","Ctr-WT",9,1086,"Lab 1"
"1-Ctr-WT10","Ctr-WT",12,1412,"Lab 1"
"1-Ctr-WT11","Ctr-WT",0,74,"Lab 1"
"1-Ctr-WT11","Ctr-WT",3,192,"Lab 1"
"1-Ctr-WT11","Ctr-WT",6,174,"Lab 1"
"1-Ctr-WT11","Ctr-WT",9,154,"Lab 1"
"1-Ctr-WT11","Ctr-WT",12,150,"Lab 1"
"1-Ctr-WT11","Ctr-WT",15,246,"Lab 1"
"1-Ctr-WT12","Ctr-WT",0,137,"Lab 1"
"1-Ctr-WT12","Ctr-WT",3,238,"Lab 1"
"1-Ctr-WT12","Ctr-WT",6,517,"Lab 1"
"1-Ctr-WT12","Ctr-WT",9,601,"Lab 1"
"1-Ctr-WT12","Ctr-WT",12,712,"Lab 1"
"1-Ctr-WT12","Ctr-WT",15,959,"Lab 1"
"1-Ctr-KO13","Ctr-KO",0,161,"Lab 1"
"1-Ctr-KO13","Ctr-KO",3,438,"Lab 1"
"1-Ctr-KO13","Ctr-KO",6,735,"Lab 1"
"1-Ctr-KO13","Ctr-KO",9,809,"Lab 1"
"1-Ctr-KO13","Ctr-KO",12,1117,"Lab 1"
"1-Ctr-KO13","Ctr-KO",15,1195,"Lab 1"
"1-Ctr-KO14","Ctr-KO",0,146,"Lab 1"
"1-Ctr-KO14","Ctr-KO",3,355,"Lab 1"
"1-Ctr-KO14","Ctr-KO",6,521,"Lab 1"
"1-Ctr-KO14","Ctr-KO",9,832,"Lab 1"
"1-Ctr-KO14","Ctr-KO",12,1134,"Lab 1"
"1-Ctr-KO14","Ctr-KO",15,1785,"Lab 1"
"1-Ctr-KO15","Ctr-KO",0,208,"Lab 1"
"1-Ctr-KO15","Ctr-KO",3,711,"Lab 1"
"1-Ctr-KO15","Ctr-KO",6,484,"Lab 1"
