"IDmouse","ExpGroup","Date","time","TVolume"
"ID-28","Vehicle",2024-03-18,0,663.631904
"ID-16","Vehicle",2024-03-18,0,542.015744
"ID-22","Vehicle",2024-03-18,0,391.3890435
"ID-5","Vehicle",2024-03-18,0,234.8195575
"ID-12","Vehicle",2024-03-18,0,394.5716225
"ID-15","Vehicle",2024-03-18,0,130.343136
"ID-9","Vehicle",2024-03-18,0,222.525954
"ID-32","Vehicle",2024-03-18,0,255.922688
"ID-6","Vehicle",2024-03-18,0,106.4834625
"ID-34","Carboplatin",2024-03-18,0,520.870408
"ID-4","Carboplatin",2024-03-18,0,427.834092
"ID-2","Carboplatin",2024-03-18,0,516.415424
"ID-7","Carboplatin",2024-03-18,0,104.243664
"ID-33","Carboplatin",2024-03-18,0,270.898212
"ID-27","Carboplatin",2024-03-18,0,342.465
"ID-30","Carboplatin",2024-03-18,0,301.431432
"ID-14","Carboplatin",2024-03-18,0,261.310344
"ID-19","Carboplatin",2024-03-18,0,164.2545
"ID-25","Gefitinib",2024-03-18,0,261.9743625
"ID-17","Gefitinib",2024-03-18,0,487.6692075
"ID-35","Gefitinib",2024-03-18,0,419.49136
"ID-8","Gefitinib",2024-03-18,0,321.731275
"ID-26","Gefitinib",2024-03-18,0,146.756448
"ID-18","Gefitinib",2024-03-18,0,175.9972995
"ID-13","Gefitinib",2024-03-18,0,368.4030525
"ID-20","Carboplatin + Gefitinib",2024-03-18,0,586.9634375
"ID-24","Carboplatin + Gefitinib",2024-03-18,0,199.735936
"ID-21","Carboplatin + Gefitinib",2024-03-18,0,329.4388125
"ID-11","Carboplatin + Gefitinib",2024-03-18,0,530.6790625
"ID-10","Carboplatin + Gefitinib",2024-03-18,0,324.202473
"ID-29","Carboplatin + Gefitinib",2024-03-18,0,159.1090405
"ID-23","Carboplatin + Gefitinib",2024-03-18,0,129.357952
"ID-1","Carboplatin + Gefitinib",2024-03-18,0,324.146976
"ID-31","Carboplatin + Gefitinib",2024-03-18,0,190.2528
"ID-28","Vehicle",2024-03-21,3,927.5022375
"ID-16","Vehicle",2024-03-21,3,677.449125
"ID-22","Vehicle",2024-03-21,3,452.022272
"ID-5","Vehicle",2024-03-21,3,380.031498
"ID-12","Vehicle",2024-03-21,3,559.755048
"ID-15","Vehicle",2024-03-21,3,208.7367765
"ID-9","Vehicle",2024-03-21,3,324.763376
"ID-32","Vehicle",2024-03-21,3,364.67258
"ID-6","Vehicle",2024-03-21,3,122.054688
"ID-34","Carboplatin",2024-03-21,3,547.8912
"ID-4","Carboplatin",2024-03-21,3,566.31875
"ID-2","Carboplatin",2024-03-21,3,725.117337
"ID-7","Carboplatin",2024-03-21,3,130.631094
"ID-33","Carboplatin",2024-03-21,3,319.1180905
"ID-27","Carboplatin",2024-03-21,3,384.8768
"ID-30","Carboplatin",2024-03-21,3,312.569208
"ID-14","Carboplatin",2024-03-21,3,327.4885715
"ID-19","Carboplatin",2024-03-21,3,149.4563545
"ID-25","Gefitinib",2024-03-21,3,342.5021365
